class,label,speed,mode
0,No data,0,WALKING
10,Rainfed cropland,1.875,WALKING
11,Herbaceous cover,1.875,WALKING
12,Tree or shrub cover (Orchard),1.875,WALKING
20,Irrigated cropland,1.875,WALKING
30,"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",2.43,WALKING
40,"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",2.43,WALKING
50,Evergreen broadleaved forest,1.215,WALKING
60,Deciduous broadleaved forest,3,WALKING
61,Open deciduous broadleaved forest (0.15<fc<0.4),3,WALKING
62,Closed deciduous broadleaved forest (fc>0.4),3,WALKING
70,Evergreen needle-leaved forest,2.43,WALKING
71,Open evergreen needle-leaved forest (0.15< fc <0.4),2.43,WALKING
72,Closed evergreen needle-leaved forest (fc >0.4),2.43,WALKING
80,Deciduous needle-leaved forest,2.43,WALKING
81,Open deciduous needle-leaved forest (0.15< fc <0.4),2.43,WALKING
82,Closed deciduous needle-leaved forest (fc >0.4),2.43,WALKING
90,Mixed leaf forest (broadleaved and needle-leaved),2.43,WALKING
100,Mosaic tree and shrub (>50%) / herbaceous cover (<50%),2.43,WALKING
110,Mosaic herbaceous cover (>50%) / tree and shrub (<50%),3.645,WALKING
120,Shrubland,2.7,WALKING
121,Evergreen shrubland,2.7,WALKING
122,Deciduous shrubland,2.7,WALKING
130,Grassland,3.645,WALKING
140,Lichens and mosses,2.25,WALKING
150,Sparse vegetation (fc<0.15),2.25,WALKING
151,Sparse tree (fc<0.15),2.25,WALKING
152,Sparse shrubland (fc<0.15),2.25,WALKING
153,Sparse herbaceous (fc<0.15),2.25,WALKING
160,"Tree cover, flooded, fresh or brackish water",2.43,WALKING
170,"Tree cover, flooded, saline water",2.43,WALKING
180,Wetlands,1.5,WALKING
190,Impervious,3.75,WALKING
200,Bare areas,2.25,WALKING
201,Consolidated bare areas,2.25,WALKING
202,Unconsolidated bare areas,2.25,WALKING
210,Water body,0.75,WALKING
220,Permanent ice and snow,1.215,WALKING
250,Filled value,0,WALKING
1001,motorway,3,WALKING
1002,motorway_link,3,WALKING
2001,trunk,3,WALKING
2002,trunk_link,3,WALKING
3001,primary,3,WALKING
3002,primary_link,3,WALKING
4001,secondary,3,WALKING
4002,secondary_link,3,WALKING
5001,tertiary,3,WALKING
5002,tertiary_link,3,WALKING
6001,unclassified,3,WALKING
6002,residential,3,WALKING
6003,service,3,WALKING
6004,track,3,WALKING
6005,footway,3,WALKING
6006,path,3,WALKING
